Year Low Mid High Low Mid High
2020 1.00 1.00 1.00 345 345 345
2021 0.92 0.94 0.97 316 324 333
2022 0.85 0.88 0.94 290 304 323
2023 0.77 0.82 0.92 264 283 315
2024 0.69 0.76 0.89 238 263 305
2025 0.62 0.70 0.86 212 242 295
2026 0.58 0.68 0.83 199 233 286
2027 0.54 0.65 0.81 184 225 276
2028 0.50 0.63 0.78 170 216 267
2029 0.46 0.60 0.75 157 207 258
2030 0.42 0.58 0.72 143 198 248
2031 0.41 0.57 0.72 141 196 248
2032 0.40 0.56 0.72 138 193 248
2033 0.39 0.55 0.72 135 191 248
2034 0.39 0.55 0.72 132 189 248
2035 0.38 0.54 0.72 129 186 248
2036 0.37 0.53 0.72 126 184 248
2037 0.36 0.52 0.72 123 181 248
2038 0.35 0.52 0.72 121 179 248
2039 0.34 0.51 0.72 118 176 248
2040 0.34 0.50 0.72 115 174 248
2041 0.33 0.50 0.72 112 171 248
2042 0.32 0.49 0.72 110 169 248
2043 0.31 0.48 0.72 107 166 248
2044 0.30 0.47 0.72 104 164 248
2045 0.30 0.47 0.72 101 161 248
2046 0.29 0.46 0.72 99 159 248
2047 0.28 0.45 0.72 96 156 248
2048 0.27 0.45 0.72 93 154 248
2049 0.26 0.44 0.72 90 151 248
2050 0.25 0.43 0.72 87 149 248
