Year Low Mid High Low Mid High
2018 1 1 1 380 380 380
2019 0.89 0.93 0.97 339 355 369
2020 0.78 0.87 0.94 297 330 359
2021 0.72 0.82 0.93 275 313 353
2022 0.66 0.78 0.91 252 297 347
2023 0.60 0.74 0.90 229 280 341
2024 0.54 0.69 0.88 207 264 336
2025 0.48 0.65 0.87 184 248 330
2026 0.45 0.63 0.85 172 240 324
2027 0.42 0.61 0.84 160 232 318
2028 0.39 0.59 0.82 148 224 312
2029 0.36 0.57 0.81 136 215 307
2030 0.33 0.55 0.79 124 207 301
2031 0.32 0.54 0.79 122 205 299
2032 0.31 0.53 0.78 120 202 297
2033 0.31 0.53 0.78 117 200 295
2034 0.30 0.52 0.77 115 197 293
2035 0.30 0.51 0.77 112 194 291
2036 0.29 0.50 0.76 110 192 290
2037 0.28 0.50 0.76 107 189 288
2038 0.28 0.49 0.75 105 187 286
2039 0.27 0.48 0.75 102 184 284
2040 0.26 0.48 0.74 100 182 282
2041 0.26 0.47 0.74 98 179 280
2042 0.25 0.46 0.73 95 176 278
2043 0.24 0.46 0.73 93 174 276
2044 0.24 0.45 0.72 90 171 274
2045 0.23 0.44 0.72 88 169 273
2046 0.22 0.44 0.71 85 166 271
2047 0.22 0.43 0.71 83 163 269
2048 0.21 0.42 0.70 81 161 267
2049 0.21 0.42 0.70 78 158 265
2050 0.20 0.41 0.69 76 156 263
