Year Low Mid High Low Mid High
2022 1.00 1.00 1.00 482 482 482
2023 0.72 0.96 1.04 347 463 500
2024 0.68 0.92 1.04 327 443 503
2025 0.64 0.81 1.03 310 388 496
2026 0.62 0.78 0.99 297 376 477
2027 0.59 0.75 0.95 284 363 459
2028 0.56 0.73 0.91 271 351 440
2029 0.54 0.70 0.88 258 338 422
2030 0.51 0.68 0.84 245 326 403
2031 0.50 0.67 0.83 240 321 400
2032 0.49 0.66 0.83 236 316 398
2033 0.48 0.65 0.82 232 311 395
2034 0.47 0.63 0.81 227 306 392
2035 0.46 0.62 0.81 223 301 389
2036 0.45 0.61 0.80 219 296 387
2037 0.45 0.60 0.80 215 291 384
2038 0.44 0.59 0.79 210 286 381
2039 0.43 0.58 0.79 206 281 378
2040 0.42 0.57 0.78 202 276 376
2041 0.41 0.56 0.77 197 271 373
2042 0.40 0.55 0.77 193 266 370
2043 0.39 0.54 0.76 189 261 367
2044 0.38 0.53 0.76 185 256 365
2045 0.37 0.52 0.75 180 251 362
2046 0.37 0.51 0.75 176 246 359
2047 0.36 0.50 0.74 172 241 356
2048 0.35 0.49 0.73 167 236 353
2049 0.34 0.48 0.73 163 231 351
2050 0.33 0.47 0.72 159 226 348
