Year Low Mid High Low Mid High
2019 1.00 1.00 1.00 393 393 393
2020 0.78 0.94 0.97 306 370 383
2021 0.73 0.89 0.95 286 351 372
2022 0.68 0.84 0.92 266 331 362
2023 0.62 0.79 0.90 245 312 352
2024 0.57 0.74 0.87 225 293 341
2025 0.52 0.70 0.84 205 273 331
2026 0.49 0.66 0.82 193 260 323
2027 0.46 0.63 0.80 181 247 316
2028 0.43 0.60 0.78 169 234 308
2029 0.40 0.56 0.76 156 221 300
2030 0.37 0.53 0.74 144 208 293
2031 0.36 0.52 0.74 142 205 289
2032 0.35 0.52 0.73 139 203 285
2033 0.35 0.51 0.72 136 200 282
2034 0.34 0.50 0.71 133 198 278
2035 0.33 0.50 0.70 130 195 274
2036 0.32 0.49 0.69 127 192 271
2037 0.32 0.48 0.68 125 190 267
2038 0.31 0.48 0.67 122 187 263
2039 0.30 0.47 0.66 119 185 260
2040 0.30 0.46 0.65 116 182 256
2041 0.29 0.46 0.64 113 179 252
2042 0.28 0.45 0.63 111 177 249
2043 0.27 0.44 0.62 108 174 245
2044 0.27 0.44 0.61 105 172 241
2045 0.26 0.43 0.60 102 169 238
2046 0.25 0.42 0.60 99 166 234
2047 0.25 0.42 0.59 96 164 230
2048 0.24 0.41 0.58 94 161 227
2049 0.23 0.40 0.57 91 159 223
2050 0.22 0.40 0.56 88 156 219
